REGION,SETTLEMENTDATE,TOTALDEMAND,RRP( Regional reference price),PERIODTYPE
VIC1,01-11-2018 00:30,4408.21,61.91,TRADE
VIC1,01-11-2018 01:00,4268.7,63.5,TRADE
VIC1,01-11-2018 01:30,4176.13,61.35,TRADE
VIC1,01-11-2018 02:00,3985.28,63.02,TRADE
VIC1,01-11-2018 02:30,3912.44,58.46,TRADE
VIC1,01-11-2018 03:00,3884.88,63.28,TRADE
VIC1,01-11-2018 03:30,3909.09,71.24,TRADE
VIC1,01-11-2018 04:00,3896.78,66.88,TRADE
VIC1,01-11-2018 04:30,4026.11,62.13,TRADE
VIC1,01-11-2018 05:00,4234.94,78.58,TRADE
VIC1,01-11-2018 05:30,4575.29,165.46,TRADE
VIC1,01-11-2018 06:00,4824.91,121.21,TRADE
VIC1,01-11-2018 06:30,5207.8,166,TRADE
VIC1,01-11-2018 07:00,5397.2,129.82,TRADE
VIC1,01-11-2018 07:30,5333.07,88.88,TRADE
VIC1,01-11-2018 08:00,5213.76,82.68,TRADE
VIC1,01-11-2018 08:30,5222.9,115.8,TRADE
VIC1,01-11-2018 09:00,5090.28,96.3,TRADE
VIC1,01-11-2018 09:30,4992.64,83.61,TRADE
VIC1,01-11-2018 10:00,4884.86,71.51,TRADE
VIC1,01-11-2018 10:30,4875.45,62.66,TRADE
VIC1,01-11-2018 11:00,4865.48,72.89,TRADE
VIC1,01-11-2018 11:30,4899.28,70.55,TRADE
VIC1,01-11-2018 12:00,4930.69,69.63,TRADE
VIC1,01-11-2018 12:30,5032.56,68.15,TRADE
VIC1,01-11-2018 13:00,5104.56,80.3,TRADE
VIC1,01-11-2018 13:30,5329.58,105.27,TRADE
VIC1,01-11-2018 14:00,5509.01,130.48,TRADE
VIC1,01-11-2018 14:30,5509.88,110.61,TRADE
VIC1,01-11-2018 15:00,5607.41,117.54,TRADE
VIC1,01-11-2018 15:30,5643.12,108.63,TRADE
VIC1,01-11-2018 16:00,5720.24,106.59,TRADE
VIC1,01-11-2018 16:30,5821.72,131.83,TRADE
VIC1,01-11-2018 17:00,5833.01,127.35,TRADE
VIC1,01-11-2018 17:30,5765.79,122.29,TRADE
VIC1,01-11-2018 18:00,5749.83,128.65,TRADE
VIC1,01-11-2018 18:30,5635.5,128.92,TRADE
VIC1,01-11-2018 19:00,5633.24,192.96,TRADE
VIC1,01-11-2018 19:30,5705.95,164.4,TRADE
VIC1,01-11-2018 20:00,5611.51,134.55,TRADE
VIC1,01-11-2018 20:30,5367.41,125.93,TRADE
VIC1,01-11-2018 21:00,5179.2,104.84,TRADE
VIC1,01-11-2018 21:30,4917.84,108.39,TRADE
VIC1,01-11-2018 22:00,4723.82,87.32,TRADE
VIC1,01-11-2018 22:30,4567.52,76.54,TRADE
VIC1,01-11-2018 23:00,4500.73,62.01,TRADE
VIC1,01-11-2018 23:30,4655.08,102.06,TRADE
VIC1,02-11-2018 00:00,4631.13,147.33,TRADE
VIC1,02-11-2018 00:30,4403.59,66.16,TRADE
VIC1,02-11-2018 01:00,4246.65,109.55,TRADE
VIC1,02-11-2018 01:30,4080.23,69.57,TRADE
VIC1,02-11-2018 02:00,3969.46,61.76,TRADE
VIC1,02-11-2018 02:30,3916.85,56.07,TRADE
VIC1,02-11-2018 03:00,3860.91,55.2,TRADE
VIC1,02-11-2018 03:30,3825.25,53.95,TRADE
VIC1,02-11-2018 04:00,3855.54,53.87,TRADE
VIC1,02-11-2018 04:30,3990.65,54.72,TRADE
VIC1,02-11-2018 05:00,4175.03,43.63,TRADE
VIC1,02-11-2018 05:30,4431.57,75.58,TRADE
VIC1,02-11-2018 06:00,4730.42,85.76,TRADE
VIC1,02-11-2018 06:30,5132.17,94.69,TRADE
VIC1,02-11-2018 07:00,5398.38,108.71,TRADE
VIC1,02-11-2018 07:30,5450.95,104.13,TRADE
VIC1,02-11-2018 08:00,5446.89,101.26,TRADE
VIC1,02-11-2018 08:30,5440.03,98.67,TRADE
VIC1,02-11-2018 09:00,5397.35,79.91,TRADE
VIC1,02-11-2018 09:30,5337.08,77.94,TRADE
VIC1,02-11-2018 10:00,5435.96,85.06,TRADE
VIC1,02-11-2018 10:30,5392.48,86.48,TRADE
VIC1,02-11-2018 11:00,5253.09,88.48,TRADE
VIC1,02-11-2018 11:30,5176.94,67.58,TRADE
VIC1,02-11-2018 12:00,5270.44,85.09,TRADE
VIC1,02-11-2018 12:30,5351.27,81.81,TRADE
VIC1,02-11-2018 13:00,5113.85,4.36,TRADE
VIC1,02-11-2018 13:30,5232.35,56.24,TRADE
VIC1,02-11-2018 14:00,5434.19,93.48,TRADE
VIC1,02-11-2018 14:30,5398.7,78.34,TRADE
VIC1,02-11-2018 15:00,5456.2,101.01,TRADE
VIC1,02-11-2018 15:30,5633.74,106.1,TRADE
VIC1,02-11-2018 16:00,5700.14,100.8,TRADE
VIC1,02-11-2018 16:30,5605.65,88.33,TRADE
VIC1,02-11-2018 17:00,5542.1,87.82,TRADE
VIC1,02-11-2018 17:30,5395.23,91.05,TRADE
VIC1,02-11-2018 18:00,5321.33,86.77,TRADE
VIC1,02-11-2018 18:30,5194.03,83.85,TRADE
VIC1,02-11-2018 19:00,5063.1,89.43,TRADE
VIC1,02-11-2018 19:30,4982.33,84.62,TRADE
VIC1,02-11-2018 20:00,4903.93,70.51,TRADE
VIC1,02-11-2018 20:30,4725.36,63.09,TRADE
VIC1,02-11-2018 21:00,4514.08,57.42,TRADE
VIC1,02-11-2018 21:30,4347.17,57.79,TRADE
VIC1,02-11-2018 22:00,4224.37,56.98,TRADE
VIC1,02-11-2018 22:30,4078.9,58.11,TRADE
VIC1,02-11-2018 23:00,3975.46,51.09,TRADE
VIC1,02-11-2018 23:30,4145.19,59.24,TRADE
VIC1,03-11-2018 00:00,4149.62,66.32,TRADE
VIC1,03-11-2018 00:30,3940.52,56.88,TRADE
VIC1,03-11-2018 01:00,3845.42,53.28,TRADE
VIC1,03-11-2018 01:30,3796.66,57.76,TRADE
VIC1,03-11-2018 02:00,3639.79,53.35,TRADE
VIC1,03-11-2018 02:30,3509.75,54.73,TRADE
VIC1,03-11-2018 03:00,3500.78,55.29,TRADE
VIC1,03-11-2018 03:30,3463.96,54.81,TRADE
VIC1,03-11-2018 04:00,3436.7,55.28,TRADE
VIC1,03-11-2018 04:30,3491.88,56.18,TRADE
VIC1,03-11-2018 05:00,3585.13,56.06,TRADE
VIC1,03-11-2018 05:30,3634.04,56.29,TRADE
VIC1,03-11-2018 06:00,3739.75,57.65,TRADE
VIC1,03-11-2018 06:30,3852.97,59.3,TRADE
VIC1,03-11-2018 07:00,3934.52,60.73,TRADE
VIC1,03-11-2018 07:30,3928.89,60.11,TRADE
VIC1,03-11-2018 08:00,3919.49,62.53,TRADE
VIC1,03-11-2018 08:30,3939.83,63.28,TRADE
VIC1,03-11-2018 09:00,3964.25,65.64,TRADE
VIC1,03-11-2018 09:30,3973.67,68.64,TRADE
VIC1,03-11-2018 10:00,3894.13,55.42,TRADE
VIC1,03-11-2018 10:30,3858.05,59.58,TRADE
VIC1,03-11-2018 11:00,3776.14,56.38,TRADE
