REGION,SETTLEMENTDATE,RRP,PERIODTYPE,TOTALDEMAND
VIC1,01-03-2019 00:30,112.17,TRADE,5262.6
VIC1,01-03-2019 01:00,112.75,TRADE,5060.04
VIC1,01-03-2019 01:30,115.77,TRADE,4893.86
VIC1,01-03-2019 02:00,98.77,TRADE,4757.79
VIC1,01-03-2019 02:30,83.1,TRADE,4674.41
VIC1,01-03-2019 03:00,75.11,TRADE,4656.16
VIC1,01-03-2019 03:30,68.22,TRADE,4656.95
VIC1,01-03-2019 04:00,54.07,TRADE,4671.72
VIC1,01-03-2019 04:30,63.41,TRADE,4803.68
VIC1,01-03-2019 05:00,70.27,TRADE,4933.53
VIC1,01-03-2019 05:30,105.22,TRADE,5239.8
VIC1,01-03-2019 06:00,121.74,TRADE,5524.8
VIC1,01-03-2019 06:30,128.7,TRADE,5881.46
VIC1,01-03-2019 07:00,130.17,TRADE,6119.35
VIC1,01-03-2019 07:30,100.85,TRADE,6090.64
VIC1,01-03-2019 08:00,104.4,TRADE,6174.5
VIC1,01-03-2019 08:30,121.37,TRADE,6369.22
VIC1,01-03-2019 09:00,125.44,TRADE,6396.37
VIC1,01-03-2019 09:30,140.39,TRADE,6581.03
VIC1,01-03-2019 10:00,136.91,TRADE,6743.9
VIC1,01-03-2019 10:30,124.98,TRADE,6939.97
VIC1,01-03-2019 11:00,171.55,TRADE,7141.76
VIC1,01-03-2019 11:30,117,TRADE,7297.49
VIC1,01-03-2019 12:00,133.83,TRADE,7494.84
VIC1,01-03-2019 12:30,172.78,TRADE,7671.11
VIC1,01-03-2019 13:00,218.86,TRADE,7927.16
VIC1,01-03-2019 13:30,317.54,TRADE,8162.83
VIC1,01-03-2019 14:00,134.9,TRADE,8379.97
VIC1,01-03-2019 14:30,824.43,TRADE,8500.18
VIC1,01-03-2019 15:00,251.94,TRADE,8705.54
VIC1,01-03-2019 15:30,3846.98,TRADE,8992.67
VIC1,01-03-2019 16:00,6914.61,TRADE,9083.27
VIC1,01-03-2019 16:30,12634.81,TRADE,9144.48
VIC1,01-03-2019 17:00,12471.61,TRADE,9289.5
VIC1,01-03-2019 17:30,3571.65,TRADE,8917.7
VIC1,01-03-2019 18:00,227.89,TRADE,8952.61
VIC1,01-03-2019 18:30,1910.79,TRADE,8794.91
VIC1,01-03-2019 19:00,127.06,TRADE,8556.09
VIC1,01-03-2019 19:30,194.29,TRADE,8361.32
VIC1,01-03-2019 20:00,111.26,TRADE,8139.59
VIC1,01-03-2019 20:30,106.35,TRADE,7650.96
VIC1,01-03-2019 21:00,128.38,TRADE,7289.79
VIC1,01-03-2019 21:30,125.9,TRADE,6855.63
VIC1,01-03-2019 22:00,112.97,TRADE,6421.22
VIC1,01-03-2019 22:30,129.99,TRADE,6040.43
VIC1,01-03-2019 23:00,93.8,TRADE,5789.1
VIC1,01-03-2019 23:30,102.42,TRADE,5772.61
VIC1,02-03-2019 00:00,109.2,TRADE,5588.06
VIC1,02-03-2019 00:30,79.92,TRADE,5233.95
VIC1,02-03-2019 01:00,52.05,TRADE,5044.52
VIC1,02-03-2019 01:30,31,TRADE,4886.51
VIC1,02-03-2019 02:00,23.89,TRADE,4695.4
VIC1,02-03-2019 02:30,26.62,TRADE,4538.93
VIC1,02-03-2019 03:00,29.12,TRADE,4458.59
VIC1,02-03-2019 03:30,23.73,TRADE,4360.96
VIC1,02-03-2019 04:00,25.39,TRADE,4350.58
VIC1,02-03-2019 04:30,27.42,TRADE,4359.45
VIC1,02-03-2019 05:00,27.04,TRADE,4422.52
VIC1,02-03-2019 05:30,36.21,TRADE,4509.76
VIC1,02-03-2019 06:00,29.1,TRADE,4620.49
VIC1,02-03-2019 06:30,39.86,TRADE,4699.43
VIC1,02-03-2019 07:00,44.12,TRADE,4883.66
VIC1,02-03-2019 07:30,58,TRADE,4980.21
VIC1,02-03-2019 08:00,82.37,TRADE,5139.74
VIC1,02-03-2019 08:30,97.85,TRADE,5303.87
VIC1,02-03-2019 09:00,104.5,TRADE,5421.71
VIC1,02-03-2019 09:30,105.47,TRADE,5557.46
VIC1,02-03-2019 10:00,105.18,TRADE,5751.86
VIC1,02-03-2019 10:30,107.56,TRADE,5915.57
VIC1,02-03-2019 11:00,113.69,TRADE,6068.72
VIC1,02-03-2019 11:30,125.45,TRADE,6173.71
VIC1,02-03-2019 12:00,104.5,TRADE,6355.8
VIC1,02-03-2019 12:30,117.5,TRADE,6485.71
VIC1,02-03-2019 13:00,131.05,TRADE,6690.75
VIC1,02-03-2019 13:30,148.88,TRADE,6885.27
VIC1,02-03-2019 14:00,153.15,TRADE,7105.57
VIC1,02-03-2019 14:30,145.63,TRADE,7344.91
VIC1,02-03-2019 15:00,264.9,TRADE,7540.74
VIC1,02-03-2019 15:30,181.86,TRADE,7700.84
VIC1,02-03-2019 16:00,144.4,TRADE,7981.18
VIC1,02-03-2019 16:30,239.56,TRADE,8131.94
VIC1,02-03-2019 17:00,260.06,TRADE,8261.88
VIC1,02-03-2019 17:30,219.13,TRADE,8304.64
VIC1,02-03-2019 18:00,284.81,TRADE,8354.53
VIC1,02-03-2019 18:30,289.06,TRADE,8230.21
VIC1,02-03-2019 19:00,211.88,TRADE,7947.33
VIC1,02-03-2019 19:30,221.41,TRADE,7649.17
VIC1,02-03-2019 20:00,136.96,TRADE,7455.82
VIC1,02-03-2019 20:30,132.62,TRADE,7142.08
VIC1,02-03-2019 21:00,117.58,TRADE,6730
VIC1,02-03-2019 21:30,137.43,TRADE,6390.73
VIC1,02-03-2019 22:00,112.41,TRADE,6073.96
VIC1,02-03-2019 22:30,109.09,TRADE,5766.87
VIC1,02-03-2019 23:00,106.28,TRADE,5488.16
VIC1,02-03-2019 23:30,196.06,TRADE,5546.48
VIC1,03-03-2019 00:00,220.26,TRADE,5419.92
VIC1,03-03-2019 00:30,132.54,TRADE,5081.7
VIC1,03-03-2019 01:00,119.54,TRADE,4854.81
VIC1,03-03-2019 01:30,106.18,TRADE,4671.94
VIC1,03-03-2019 02:00,111.01,TRADE,4483.96
VIC1,03-03-2019 02:30,101.05,TRADE,4334.58
VIC1,03-03-2019 03:00,154.49,TRADE,4304.44
VIC1,03-03-2019 03:30,113.78,TRADE,4249.58
VIC1,03-03-2019 04:00,110.05,TRADE,4213.13
VIC1,03-03-2019 04:30,108.73,TRADE,4170.07
VIC1,03-03-2019 05:00,107.41,TRADE,4216.85
VIC1,03-03-2019 05:30,100.83,TRADE,4335.21
VIC1,03-03-2019 06:00,109.3,TRADE,4406.56
VIC1,03-03-2019 06:30,113.61,TRADE,4477.67
VIC1,03-03-2019 07:00,50.7,TRADE,4611.25
VIC1,03-03-2019 07:30,37.57,TRADE,4653.17
VIC1,03-03-2019 08:00,72.33,TRADE,4801.4
VIC1,03-03-2019 08:30,69.25,TRADE,4946.18
VIC1,03-03-2019 09:00,173.07,TRADE,5193.58
VIC1,03-03-2019 09:30,85.81,TRADE,5423.52
VIC1,03-03-2019 10:00,96.39,TRADE,5591.29
VIC1,03-03-2019 10:30,103.22,TRADE,5841.34
VIC1,03-03-2019 11:00,132.89,TRADE,6054.29
VIC1,03-03-2019 11:30,142.78,TRADE,6269.57
VIC1,03-03-2019 12:00,126.43,TRADE,6487.95
VIC1,03-03-2019 12:30,181.86,TRADE,6727.38
VIC1,03-03-2019 13:00,223.97,TRADE,6943.81
VIC1,03-03-2019 13:30,150.25,TRADE,7125.63
VIC1,03-03-2019 14:00,153.99,TRADE,7337.66
VIC1,03-03-2019 14:30,194.53,TRADE,7524.91
VIC1,03-03-2019 15:00,248.78,TRADE,7674.69
VIC1,03-03-2019 15:30,262.2,TRADE,7694.67
VIC1,03-03-2019 16:00,245.13,TRADE,7795.6
VIC1,03-03-2019 16:30,292.34,TRADE,7800.63
VIC1,03-03-2019 17:00,262.01,TRADE,7786.01
VIC1,03-03-2019 17:30,221.65,TRADE,7717.54
VIC1,03-03-2019 18:00,245.12,TRADE,7705.97
VIC1,03-03-2019 18:30,181.74,TRADE,7413.81
VIC1,03-03-2019 19:00,142.61,TRADE,6982.79
VIC1,03-03-2019 19:30,118.25,TRADE,6570.7
VIC1,03-03-2019 20:00,114.18,TRADE,6333.16
VIC1,03-03-2019 20:30,109.01,TRADE,5955.95
VIC1,03-03-2019 21:00,141.28,TRADE,5696.22
VIC1,03-03-2019 21:30,124.21,TRADE,5366.98
VIC1,03-03-2019 22:00,128.22,TRADE,5159.22
VIC1,03-03-2019 22:30,123.01,TRADE,4964.16
VIC1,03-03-2019 23:00,117.24,TRADE,4800.76
VIC1,03-03-2019 23:30,135.09,TRADE,5023.17
VIC1,04-03-2019 00:00,128.69,TRADE,4995.75
VIC1,04-03-2019 00:30,118.69,TRADE,4765.9
VIC1,04-03-2019 01:00,101.78,TRADE,4598.03
VIC1,04-03-2019 01:30,87.33,TRADE,4534.5
VIC1,04-03-2019 02:00,98.55,TRADE,4382.61
VIC1,04-03-2019 02:30,98.1,TRADE,4295.72
VIC1,04-03-2019 03:00,90.17,TRADE,4242.67
VIC1,04-03-2019 03:30,99.79,TRADE,4286.71
VIC1,04-03-2019 04:00,92.29,TRADE,4342
VIC1,04-03-2019 04:30,93.43,TRADE,4462.22
VIC1,04-03-2019 05:00,99.79,TRADE,4621
VIC1,04-03-2019 05:30,146.55,TRADE,4968.96
